id,audio_path,text,class,classID,fold,fsID,start,end,salience,error,sample_rate,duration_s,loudness,sharpness,roughness,fluctuation_strength_proxy,pr_ecma_st
194753-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/194753-3-0-0.wav,dog_bark,dog_bark,3,6,194753,0.0,0.752941,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194753-3-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/194753-3-1-0.wav,dog_bark,dog_bark,3,6,194753,2.917647,4.729412,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194753-3-2-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/194753-3-2-0.wav,dog_bark,dog_bark,3,6,194753,8.235294,9.2,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194753-3-3-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/194753-3-3-0.wav,dog_bark,dog_bark,3,6,194753,13.105882,13.858824,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194754-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194754-3-0-0.wav,dog_bark,dog_bark,3,7,194754,0.312357,4.312357,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194754-3-0-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194754-3-0-1.wav,dog_bark,dog_bark,3,7,194754,0.812357,4.812357,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194754-3-0-2.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194754-3-0-2.wav,dog_bark,dog_bark,3,7,194754,1.312357,5.312357,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-130.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-130.wav,street_music,street_music,9,2,194841,65.0,69.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-144.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-144.wav,street_music,street_music,9,2,194841,72.0,76.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-164.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-164.wav,street_music,street_music,9,2,194841,82.0,86.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-178.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-178.wav,street_music,street_music,9,2,194841,89.0,93.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-222.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-222.wav,street_music,street_music,9,2,194841,111.0,115.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194841-9-0-48.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold2/194841-9-0-48.wav,street_music,street_music,9,2,194841,24.0,28.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194910-9-0-108.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/194910-9-0-108.wav,street_music,street_music,9,5,194910,54.0,58.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194910-9-0-26.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/194910-9-0-26.wav,street_music,street_music,9,5,194910,13.0,17.0,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194910-9-0-5.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/194910-9-0-5.wav,street_music,street_music,9,5,194910,2.5,6.5,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194910-9-0-63.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/194910-9-0-63.wav,street_music,street_music,9,5,194910,31.5,35.5,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
194910-9-0-65.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/194910-9-0-65.wav,street_music,street_music,9,5,194910,32.5,36.5,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz'),,,,,,,
19496-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/19496-3-0-0.wav,dog_bark,dog_bark,3,3,19496,32.082004,36.082004,2,,44100.0,4.0,15.224,0.874987320654272,1.2564228469128051,3.244657428840381,0.0
19496-3-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/19496-3-1-0.wav,dog_bark,dog_bark,3,3,19496,41.420638,45.420638,2,,44100.0,4.0,13.55,1.1436249970059615,0.3623703074085213,2.916666850085717,0.0
19496-3-1-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/19496-3-1-1.wav,dog_bark,dog_bark,3,3,19496,41.920638,45.920638,2,,44100.0,4.0,13.856,1.0229211020787887,0.6954104018431451,2.5085851102221497,0.0
194962-5-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194962-5-0-0.wav,engine_idling,engine_idling,5,7,194962,4.151762,8.151762,1,,48000.0,4.0,8.574,1.5790595827356766,0.45191369274322063,0.9885046137200724,0.0
194962-5-0-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194962-5-0-1.wav,engine_idling,engine_idling,5,7,194962,4.651762,8.651762,1,,48000.0,4.0,8.873,1.5531526666944588,0.24341067966130203,1.0780218775118169,0.0
194962-5-0-2.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/194962-5-0-2.wav,engine_idling,engine_idling,5,7,194962,5.151762,9.151762,1,,48000.0,4.0,9.011,1.4820307445755314,0.24022171044547644,1.2485650955163068,0.0
19503-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/19503-3-0-0.wav,dog_bark,dog_bark,3,5,19503,0.126733,4.087129,2,,44100.0,3.96,17.97,1.2469050123027137,0.09485442894783498,3.2813990981576,0.0
19503-3-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/19503-3-1-0.wav,dog_bark,dog_bark,3,5,19503,19.152475,21.544554,2,,44100.0,2.39,17.7,1.8838498037344338,0.11650240138821928,2.892865109216584,9.299650701812602
19503-3-2-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold5/19503-3-2-0.wav,dog_bark,dog_bark,3,5,19503,23.112871,23.809901,2,,44100.0,0.6970294784580499,16.04,1.529254730804004,0.08741368730539413,3.6202763613708537,9.30909166133712
195063-4-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold10/195063-4-0-0.wav,drilling,drilling,4,10,195063,1.610715,5.610715,1,,44100.0,4.0,24.97,2.706955795760948,0.12406569201324666,4.121374712045893,15.975167533783988
195063-4-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold10/195063-4-1-0.wav,drilling,drilling,4,10,195063,7.749512,11.749512,1,,44100.0,4.0,24.33,2.677353780157876,0.18714504982037203,2.4376187869369765,10.811578275950673
195451-5-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-0.wav,engine_idling,engine_idling,5,3,195451,2.249062,6.249062,1,,44100.0,4.0,26.05,1.8418625900029266,0.6549874592305093,3.4360057083587203,0.0
195451-5-0-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-1.wav,engine_idling,engine_idling,5,3,195451,2.749062,6.749062,1,,44100.0,4.0,25.41,1.8475417256596884,0.721962122564088,3.499983550251721,0.0
195451-5-0-10.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-10.wav,engine_idling,engine_idling,5,3,195451,7.249062,11.249062,1,,44100.0,4.0,27.69,1.7438214601021884,0.4753426606361495,3.6563191775351283,0.0
195451-5-0-11.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-11.wav,engine_idling,engine_idling,5,3,195451,7.749062,11.749062,1,,44100.0,4.0,27.32,1.7674558057465546,0.5048800428379266,3.6563758009974934,0.0
195451-5-0-12.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-12.wav,engine_idling,engine_idling,5,3,195451,8.249062,12.249062,1,,44100.0,4.0,27.23,1.7897627362743656,0.5204168469553477,3.558951020662157,0.0
195451-5-0-13.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-13.wav,engine_idling,engine_idling,5,3,195451,8.749062,12.749062,1,,44100.0,4.0,26.73,1.828566392987914,0.5204168469553477,3.657343514148239,0.0
195451-5-0-14.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-14.wav,engine_idling,engine_idling,5,3,195451,9.249062,13.249062,1,,44100.0,4.0,26.47,1.826649033423167,0.45626266959038214,3.524295918523701,0.0
195451-5-0-15.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-15.wav,engine_idling,engine_idling,5,3,195451,9.749062,13.749062,1,,44100.0,4.0,26.34,1.8312015760661322,0.5435224265660642,3.500984311904553,0.0
195451-5-0-16.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-16.wav,engine_idling,engine_idling,5,3,195451,10.249062,14.249062,1,,44100.0,4.0,26.18,1.8401604325839636,0.5435224265660642,3.596182882525927,0.0
195451-5-0-17.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-17.wav,engine_idling,engine_idling,5,3,195451,10.749062,14.749062,1,,44100.0,4.0,26.18,1.8384473798678602,0.48943298649850736,3.48607935625675,0.0
195451-5-0-18.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold3/195451-5-0-18.wav,engine_idling,engine_idling,5,3,195451,11.249062,15.249062,1,,44100.0,4.0,26.38,1.8303523492210094,0.5727046207320556,3.4743849795579727,0.0
