id,audio_path,text,class,classID,fold,fsID,start,end,salience,sample_rate,duration_s,loudness,sharpness,roughness,fluctuation_strength_proxy,pr_ecma_st
57553-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57553-3-0-0.wav,dog_bark,dog_bark,3,1,57553,0.0,1.715423,2,48000,1.7154166666666666,7.327,1.0342891137370043,0.04961246999241237,1.2301965117618734,0.0
57553-3-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57553-3-1-0.wav,dog_bark,dog_bark,3,1,57553,9.679885,11.932555,2,48000,2.25,5.31,1.0193672521829973,0.05043176126198876,1.0771655448249708,0.0
57553-3-2-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57553-3-2-0.wav,dog_bark,dog_bark,3,1,57553,13.063603,14.279479,2,48000,1.215875,6.386,1.041298444482702,0.03450771132982653,1.1717699975979086,0.0
57584-4-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-0.wav,drilling,drilling,4,1,57584,0.0,4.0,2,44100,4.0,25.39,1.6222465147953407,0.06754236608169606,3.647273150787468,0.0
57584-4-0-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-1.wav,drilling,drilling,4,1,57584,0.5,4.5,2,44100,4.0,25.01,1.5722690096029397,0.06754236608169606,4.202616304071786,0.0
57584-4-0-2.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-2.wav,drilling,drilling,4,1,57584,1.0,5.0,2,44100,4.0,24.5,1.4999117849418635,0.04376200939329294,3.3895962793020304,0.0
57584-4-0-3.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-3.wav,drilling,drilling,4,1,57584,1.5,5.5,2,44100,4.0,24.62,1.4866891118384151,0.0533543717741727,4.050448345422549,0.0
57584-4-0-4.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-4.wav,drilling,drilling,4,1,57584,2.0,6.0,2,44100,4.0,24.9,1.4766926374986795,0.0533543717741727,3.5416038966630405,0.0
57584-4-0-5.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-5.wav,drilling,drilling,4,1,57584,2.5,6.5,2,44100,4.0,24.19,1.4950354549621625,0.051420564300111056,3.463007509103597,0.0
57584-4-0-6.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-6.wav,drilling,drilling,4,1,57584,3.0,7.0,2,44100,4.0,23.09,1.4972164976282591,0.051420564300111056,3.395474272977272,0.0
57584-4-0-7.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-7.wav,drilling,drilling,4,1,57584,3.5,7.5,2,44100,4.0,23.89,1.4851533969286805,0.04872370720264525,3.4152542153683445,0.0
57584-4-0-8.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/57584-4-0-8.wav,drilling,drilling,4,1,57584,4.0,8.0,2,44100,4.0,24.05,1.4919575835764187,0.05295206924668337,3.1626859515915844,0.0
57596-3-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57596-3-0-0.wav,dog_bark,dog_bark,3,7,57596,0.591383,3.288668,2,44100,2.697278911564626,33.85,1.422236896627964,0.10419671873631703,5.959475512225674,0.0
57596-3-1-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57596-3-1-0.wav,dog_bark,dog_bark,3,7,57596,5.921045,9.921045,2,44100,4.0,34.48,1.4859276177074503,0.16942824145662788,5.449500828987541,0.0
57607-1-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/57607-1-0-0.wav,car_horn,car_horn,1,6,57607,9.765042,10.262624,2,44100,0.49759637188208616,14.309,1.1864780789600076,0.25606489948018324,5.00420726395904,10.145466068274168
57696-4-0-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-0.wav,drilling,drilling,4,7,57696,0.0,4.0,1,44100,4.0,14.843,1.5980422518686848,0.09615505713257917,1.1145984180568784,0.0
57696-4-0-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-1.wav,drilling,drilling,4,7,57696,0.5,4.5,1,44100,4.0,17.3,1.6481495360013805,0.07408330766635794,2.3496588730226864,0.0
57696-4-0-2.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-2.wav,drilling,drilling,4,7,57696,1.0,5.0,1,44100,4.0,19.88,1.8091162530052158,0.21980185015252926,2.694233616387538,0.0
57696-4-0-3.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-3.wav,drilling,drilling,4,7,57696,1.5,5.5,1,44100,4.0,23.34,2.2615146687146317,0.3587171629810775,3.2882853063526416,0.0
57696-4-0-4.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-4.wav,drilling,drilling,4,7,57696,2.0,6.0,1,44100,4.0,25.83,2.2880941844311273,0.3587171629810775,3.8710173130694234,0.0
57696-4-0-5.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold7/57696-4-0-5.wav,drilling,drilling,4,7,57696,2.5,6.5,1,44100,4.0,26.26,2.2712938571618166,0.286490508098646,2.9723416679996264,0.0
58005-4-0-13.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold6/58005-4-0-13.wav,drilling,drilling,4,6,58005,11.565261,15.565261,1,44100,4.0,26.99,2.2391224879192206,0.07533568974736943,4.170027221197133,0.0
