id,audio_path,text,class,classID,fold,fsID,start,end,salience,error
180937-7-2-3.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-3.wav,jackhammer,jackhammer,7,1,180937,253.663479,257.663479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-4.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-4.wav,jackhammer,jackhammer,7,1,180937,254.163479,258.163479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-5.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-5.wav,jackhammer,jackhammer,7,1,180937,254.663479,258.663479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-6.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-6.wav,jackhammer,jackhammer,7,1,180937,255.163479,259.163479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-7.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-7.wav,jackhammer,jackhammer,7,1,180937,255.663479,259.663479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-8.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-8.wav,jackhammer,jackhammer,7,1,180937,256.163479,260.163479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-2-9.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-2-9.wav,jackhammer,jackhammer,7,1,180937,256.663479,260.663479,1,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-0.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-0.wav,jackhammer,jackhammer,7,1,180937,304.584561,308.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-1.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-1.wav,jackhammer,jackhammer,7,1,180937,305.084561,309.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-10.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-10.wav,jackhammer,jackhammer,7,1,180937,309.584561,313.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-11.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-11.wav,jackhammer,jackhammer,7,1,180937,310.084561,314.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-12.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-12.wav,jackhammer,jackhammer,7,1,180937,310.584561,314.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-13.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-13.wav,jackhammer,jackhammer,7,1,180937,311.084561,315.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-14.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-14.wav,jackhammer,jackhammer,7,1,180937,311.584561,315.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-15.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-15.wav,jackhammer,jackhammer,7,1,180937,312.084561,316.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-17.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-17.wav,jackhammer,jackhammer,7,1,180937,313.084561,317.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-18.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-18.wav,jackhammer,jackhammer,7,1,180937,313.584561,317.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-19.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-19.wav,jackhammer,jackhammer,7,1,180937,314.084561,318.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-2.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-2.wav,jackhammer,jackhammer,7,1,180937,305.584561,309.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-20.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-20.wav,jackhammer,jackhammer,7,1,180937,314.584561,318.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-21.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-21.wav,jackhammer,jackhammer,7,1,180937,315.084561,319.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-22.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-22.wav,jackhammer,jackhammer,7,1,180937,315.584561,319.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-23.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-23.wav,jackhammer,jackhammer,7,1,180937,316.084561,320.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-24.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-24.wav,jackhammer,jackhammer,7,1,180937,316.584561,320.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-26.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-26.wav,jackhammer,jackhammer,7,1,180937,317.584561,321.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-27.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-27.wav,jackhammer,jackhammer,7,1,180937,318.084561,322.084561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
180937-7-3-28.wav,/root/clawd/_datasets/urbansound8k/UrbanSound8K/audio/fold1/180937-7-3-28.wav,jackhammer,jackhammer,7,1,180937,318.584561,322.584561,2,ValueError('ERROR: Sampling frequency shall be equal to 48 kHz')
