id,audio_path,text,caption_1,caption_2,caption_3,caption_4,caption_5,split,file_name,sample_rate,duration_s,loudness,sharpness,roughness,fluctuation_strength_proxy,pr_ecma_st,fluctuation_evr,fluctuation_ami,fluctuation_rms_mod,error,compute_time_s
development/indoors house ambient more silent room tone.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/indoors house ambient more silent room tone.wav,A person going through a door at a restaurant while dishes clang and people talk.,A person going through a door at a restaurant while dishes clang and people talk.,"A woman talks, a child responds, as a cleaning machine runs in the background.",People are working in a canteen environment as equipment is being moved and children are muttering.,People are working in a canteen environment as equipment is moved and children mutter.,"a woman talking, a child speaking, and a floor cleaner running in background",development,indoors house ambient more silent room tone.wav,44100,28.224467120181405,15.415,1.3777034795982046,0.23529135451926378,,0.0,8933.228024566994,1411.3015973460504,0.0421289246750988,"",51.171
development/radio-waves-surround-sound-front.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/radio-waves-surround-sound-front.wav,A radio is being changed between multiple stations without settling on one.,A radio is being changed between multiple stations without settling on one.,A radio tuner being switched through static and radio stations.,A radio tuner is being moved through static and different radio stations.,Someone adjusting the radio and getting a mix of signals.,Someone is adjusting the radio and getting a mix of signals.,development,radio-waves-surround-sound-front.wav,44100,26.853492063492062,28.3,1.5510637836179617,1.8045522104806009,,0.0,71013.46801408115,1850.4589130737895,0.07089384966846511,"",48.542
development/bridge demolition pounding.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/bridge demolition pounding.wav,A machine has material on it and is being pressed down very hard.,A machine has material on it and is being pressed down very hard.,A machine that is pressing down very hard on material.,A pile driver repeatedly struck a piling and drove it into the ground,Metal objects rubbing against each other are clanking and creaking.,a pile driver repeatedly striking a piling as it drives it into the ground,development,bridge demolition pounding.wav,44100,20.996780045351475,25.03,1.3736034279398146,0.9844686316862976,,0.0,29282.024177096115,1525.1880820044337,0.047025070828158766,"",32.529
development/Brooklyn Residential Street.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/Brooklyn Residential Street.wav,A bus lowers it front end for passengers to exit and board while people talk and a vehicle drives by.,A bus lowers it front end for passengers to exit and board while people talk and a vehicle drives by.,"As people in the station chatter, a bus is driving away from a station.","As people talk and a vehicle travels by, the bus lowers its front end.",People are conversing next to a busy road with vehicles passing by.,Several people talking outside next to a street with vehicles driving by.,development,Brooklyn Residential Street.wav,44100,23.88922902494331,32.27,1.8091292570659396,0.11889599663277182,,0.0,2090.1272022310973,495.32291533642604,0.0184514621612007,"",50.813
development/brownnoise.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/brownnoise.wav,A breeze moving by and a static overtone of wind and other.,A breeze moving by and a static overtone of wind and other.,A static overtone from wind and something else is audible as a breeze moves by.,Rain is pouring down outside as heavy traffic is moving in the distance.,The wind blows loudly in gusts amid white noise.,White noise on top of high wind gusts.,development,brownnoise.wav,44100,18.109501133786846,29.04,1.4679796971107237,0.08396526986897297,,0.0,93374.35236150384,1882.0841546355068,0.11319821059583171,"",38.168
development/rain in pipes.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/rain in pipes.wav,Oil sizzles in a frying pan and a cup is set down on counter.,Oil sizzles in a frying pan and a cup is set down on counter.,The object had been rinsed thoroughly with soap and water.,Water falling from a shower head in a bathroom,"Water flows steadily, and hits against an object.",Water is flowing and hitting into something at a steady pace.,development,rain in pipes.wav,44100,23.927664399092972,13.05,2.1700479361357226,2.0335004612801573,,0.0,37500.443165135424,3063.3914623540677,0.009288134236531189,"",46.495
development/bugs buzzing loud.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/bugs buzzing loud.wav,A cricket is chirping and increases in volume not stopping.,A cricket is chirping and increases in volume not stopping.,A cricket is chirping and increases in volume without stopping.,A cricket sound with a high pitch that is constant.,A cricket sound with a high pitch is constantly chirping.,The night bugs are all making sweet music communicating with each other.,development,bugs buzzing loud.wav,44100,24.57832199546485,23.57,3.453919415973901,0.9960844810209128,,0.0,4624.759514043119,1045.9310541233644,0.014976790841234247,"",42.965
development/High pitched drilling.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/High pitched drilling.wav,A drill powers up and drills through something loudly.,A drill powers up and drills through something loudly.,A small electric drill is used to push through thin material.,"A whining saw is started and stops several times, chugging sporadically and never gaining full power.",Someone is using an electric drill for more than one screw.,The electric powered drill pulsates about fourteen times.,development,High pitched drilling.wav,44100,19.360498866213153,21.61,2.8867794075767415,1.072210205448413,,0.0,2565.1607158861557,339.66657576554354,0.04350575457817862,"",35.349
development/Bus driving.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/Bus driving.wav,A car driving down a bumpy road at a steady pace.,A car driving down a bumpy road at a steady pace.,A car is driving down a bumpy road and keeping a steady pace.,An off road jeep is driving up a dirt path carrying heavy cargo.,A vehicle carries cargo down a dirt road.,The low hum of a vehicle revs up and down nearby.,development,Bus driving.wav,44100,29.150249433106577,16.78,1.1111858116612954,0.2425706953194126,,0.0,22011.026591315345,1203.3113888191308,0.06609483419540917,"",47.263
development/GarbageTruck.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/GarbageTruck.wav,A big truck beeping while going in reverse.,A big truck beeping while going in reverse.,A big truck is beeping while going in reverse.,A large truck is beeping while backing up and the breaks are squealing as well.,A large truck is beeping while it reverses and the brakes are squealing as well.,A whir of an engine approaching and a large vehicle pulling away.,development,GarbageTruck.wav,44100,22.644761904761904,21.29,1.215686801974405,0.4268031428584744,,0.0,1398.692654780392,432.95654624825437,0.028624857222468495,"",33.385
development/Wind and Traffic Ambience.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/Wind and Traffic Ambience.wav,A gentle wind blows a traffic passes on a nearby road.,A gentle wind blows a traffic passes on a nearby road.,The muted noise of air passing across a surface while an automobile passes by in the background.,The ocean roared on before silence suddenly took its place.,The sound of the ocean could be heard before it was lost in silence.,Wind whistles and traffic moves steadily along against a backdrop of chirping birds.,development,Wind and Traffic Ambience.wav,44100,26.47294784580499,4.593,0.8691426310201453,1.3478890390119032,,0.0,263150.54547509545,4390.326647534725,0.04119882795781536,"",23.682
development/weekend03.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/weekend03.wav,A loud bumping around followed by a crumpling sound.,A loud bumping around followed by a crumpling sound.,"A person doing carpentry, followed by someone opening a wrapper.","An object moves and scratches the floor, then knocks twice.",Someone is doing some building work with wood and ripping some wrapping off.,a loud sound bumping around and crumbling sound at the end.,development,weekend03.wav,44100,21.173650793650793,19.05,1.715225426552741,0.5708668732292963,,0.0,11706.54653934454,1427.2553348865106,0.036465925606329365,"",37.268
development/coffee can.wav,/root/clawd/_datasets/clotho_3490684/audio_development/development/coffee can.wav,A can opener is being used to open a can and the lid is then removed.,A can opener is being used to open a can and the lid is then removed.,Someone moving a pot and chewing loudly on their crunchy cereal.,Someone is munching something loudly after it is opened and taken out.,The person uses a can opener to open and remove the lid from a can.,Something is being opened and taken out and then someone chews it with loud noises.,development,coffee can.wav,44100,21.861587301587303,24.29,1.8625458554262533,2.8735815354417995,,0.0,506694.58777900075,4729.189580200009,0.05073736067580138,"",31.492
