id,audio_path,text,category,target,fold,sample_rate,duration_s,loudness,sharpness,roughness,fluctuation_strength_proxy,pr_ecma_st,tnr_ecma_st
1-100032-A-0.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-100032-A-0.wav,dog,dog,0,1,44100,5.0,14.364,1.629862248979993,0.05891543004467065,4.340681136991685,0.0,0.0
1-100038-A-14.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-100038-A-14.wav,chirping_birds,chirping_birds,14,1,44100,5.0,21.15,2.330133865559011,0.24288599012669065,4.028274919928282,0.0,0.0
1-100210-A-36.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-100210-A-36.wav,vacuum_cleaner,vacuum_cleaner,36,1,44100,5.0,50.84,2.319924768267017,0.15322797777131886,3.8806330991377354,18.50116663984774,0.0
1-100210-B-36.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-100210-B-36.wav,vacuum_cleaner,vacuum_cleaner,36,1,44100,5.0,51.41,2.327776823856003,0.11101362975168064,7.1077088860783775,17.556008535503977,0.0
1-101296-A-19.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-101296-A-19.wav,thunderstorm,thunderstorm,19,1,44100,5.0,4.668,0.9355442912812281,0.0511871821813397,0.6906889573039828,0.0,0.0
1-101296-B-19.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-101296-B-19.wav,thunderstorm,thunderstorm,19,1,44100,5.0,6.152,0.889796436042122,0.16144692282168602,0.9368166949822889,0.0,0.0
1-101336-A-30.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-101336-A-30.wav,door_wood_knock,door_wood_knock,30,1,44100,5.0,17.63,0.8000293496709001,4.343420815446122,3.7895189810649414,0.0,0.0
1-101404-A-34.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-101404-A-34.wav,can_opening,can_opening,34,1,44100,5.0,17.83,2.8511330368981977,5.35963470926349,3.3449681921506804,0.0,0.0
1-103298-A-9.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-103298-A-9.wav,crow,crow,9,1,44100,5.0,30.02,1.7274718908049795,0.6289908465429848,7.2749007329752775,0.0,0.0
1-103995-A-30.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-103995-A-30.wav,door_wood_knock,door_wood_knock,30,1,44100,5.0,14.919,1.222191843267933,1.4637862327123614,2.8501959595845068,0.0,0.0
1-103999-A-30.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-103999-A-30.wav,door_wood_knock,door_wood_knock,30,1,44100,5.0,11.127,1.1195150589197729,2.658699493497364,2.250889200468124,0.0,0.0
1-104089-A-22.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-104089-A-22.wav,clapping,clapping,22,1,44100,5.0,28.53,1.9997342847863961,2.4724940720398054,4.245709938145003,0.0,0.0
1-104089-B-22.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-104089-B-22.wav,clapping,clapping,22,1,44100,5.0,28.23,2.0061632690677222,3.0063938655128237,4.843067545452931,0.0,0.0
1-105224-A-22.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-105224-A-22.wav,clapping,clapping,22,1,44100,5.0,39.66,1.587180512340493,0.6273157506412649,4.83759026743059,0.0,0.0
1-110389-A-0.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-110389-A-0.wav,dog,dog,0,1,44100,5.0,11.878,1.2861355190546924,0.1124713621791625,3.733998207567671,0.0,0.0
1-110537-A-22.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-110537-A-22.wav,clapping,clapping,22,1,44100,5.0,62.96,1.7081205264082493,0.563522463970703,8.51410243078951,0.0,0.0
1-115521-A-19.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-115521-A-19.wav,thunderstorm,thunderstorm,19,1,44100,5.0,10.507,0.5790038381659499,0.4810558085752167,2.856592499890897,0.0,0.0
1-115545-A-48.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-115545-A-48.wav,fireworks,fireworks,48,1,44100,5.0,6.326,1.1642936787176996,0.1698497442119029,1.4456326777240045,0.0,0.0
1-115545-B-48.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-115545-B-48.wav,fireworks,fireworks,48,1,44100,5.0,12.311,1.282930231052647,0.2778947182333326,2.557394309394403,0.0,0.0
1-115545-C-48.wav,/root/clawd/_datasets/esc-50/ESC-50-master/audio/1-115545-C-48.wav,fireworks,fireworks,48,1,44100,5.0,12.063,1.1508936347977865,2.4459128519445374,2.7557545307512057,0.0,0.0
